Employee_id,Username,department,position,age,tenure,monthly_income,performance_rating,job_satisfaction,risk_category,Password
1,Ira Nair,Finance,Director,40,14,13152,5,3,Medium,2981
2,Myra Mishra,Marketing,Associate,57,7,5780,2,3,High,5561
3,Saanvi Rathore,HR,Director,29,5,10423,3,2,High,8912
4,Meera Kapoor,Marketing,Director,50,9,5871,4,4,Medium,7156
5,Krishna Bhatia,Marketing,Lead,53,2,3660,4,5,Medium,3374
6,Aditya Mehta,Sales,Director,39,18,9242,1,3,High,4603
7,Reyansh Nair,HR,Junior,27,16,13827,1,4,High,9429
8,Aryan Bhatia,HR,Director,39,6,13521,2,5,Medium,2781
9,Vihaan Shah,HR,Director,40,19,13642,1,5,Medium,3647
10,Sai Pandey,Marketing,Director,43,3,4132,2,3,High,9558
11,Ira Desai,Finance,Manager,58,13,3699,5,3,Medium,8416
12,Aadhya Nair,HR,Junior,53,19,10470,2,2,High,2714
13,Avni Gupta,Operations,Junior,62,14,13230,1,4,High,7885
14,Ishita Shah,Marketing,Associate,24,7,9297,5,4,Medium,7479
15,Sai Sharma,Sales,Lead,49,14,10812,1,3,High,9169
16,Aadhya Desai,Finance,Director,31,19,7557,2,5,Medium,8221
17,Meera Bhatia,Operations,Senior,56,13,5179,3,3,Medium,7351
18,Ananya Patel,Operations,Lead,50,8,14030,4,5,Medium,12
19,Arjun Kapoor,Sales,Lead,36,7,12065,1,5,Medium,9323
20,Aditya Shah,Finance,Junior,54,16,11275,2,3,High,6755
21,Krishna Kapoor,Marketing,Lead,28,1,4422,5,1,High,4235
22,Avni Sharma,IT,Director,33,2,13867,1,4,High,1338
23,Vivaan Mishra,Finance,Director,51,7,6180,1,5,Medium,1939
24,Ishita Tripathi,Sales,Manager,42,11,7316,4,5,Medium,413
25,Ishaan Rathore,Operations,Director,52,0,9696,2,1,High,5210
26,Vivaan Verma,Marketing,Director,45,9,12583,3,2,High,106
27,Myra Verma,Finance,Junior,41,19,14410,5,1,High,5853
28,Vihaan Kumar,IT,Director,58,2,3614,2,1,High,9837
29,Aadhya Reddy,IT,Manager,25,5,14163,5,5,Medium,6786
30,Saanvi Bhatia,HR,Senior,49,6,14757,1,4,Medium,8849
31,Sai Shah,HR,Junior,41,19,14768,4,1,High,2113
32,Ishaan Gupta,Sales,Senior,45,17,7570,4,2,High,8146
33,Aadhya Yadav,Finance,Junior,53,10,3270,3,3,Medium,7999
34,Myra Yadav,Finance,Associate,62,18,5468,4,1,High,1341
35,Myra Pandey,Operations,Lead,57,4,12582,1,1,High,835
36,Sai Pandey,Operations,Associate,55,18,14546,3,2,High,2132
37,Ishaan Rathore,Operations,Director,57,10,6607,2,4,Medium,4179
38,Riya Sharma,HR,Senior,23,11,13775,4,1,High,8653
39,Ira Choudhary,Finance,Director,36,9,6075,3,1,High,7455
40,Aadhya Mishra,Finance,Lead,55,7,3289,1,4,High,1496
41,Avni Kapoor,IT,Junior,57,8,11120,5,2,Medium,396
42,Vivaan Joshi,HR,Lead,27,3,13672,5,1,Medium,3772
43,Riya Rathore,Marketing,Manager,60,4,9614,1,4,High,3422
44,Riya Malhotra,HR,Lead,63,7,6252,1,1,High,8850
45,Ishita Verma,Marketing,Manager,33,8,10415,5,3,Medium,9047
46,Aadhya Reddy,IT,Lead,24,14,9771,3,5,Medium,3884
47,Arjun Desai,Sales,Manager,39,14,3278,5,3,Medium,730
48,Saanvi Patel,Finance,Senior,61,15,14116,1,1,High,3540
49,Ira Bhatia,IT,Director,42,13,3580,4,2,Medium,414
50,Aadhya Pandey,Finance,Director,36,7,7958,2,5,Medium,8957
51,Aadhya Reddy,Operations,Associate,54,17,11445,4,3,Medium,8325
52,Avni Gupta,Sales,Director,56,9,7276,4,4,Medium,6803
53,Ira Verma,Sales,Junior,47,19,10997,1,2,High,4640
54,Krishna Tripathi,IT,Lead,29,5,7776,5,3,Medium,9036
55,Diya Gupta,Sales,Associate,57,11,3824,3,4,Medium,7795
56,Reyansh Pandey,Marketing,Junior,51,1,6832,4,1,High,4301
57,Myra Shah,Sales,Junior,44,6,11891,5,4,Medium,1644
58,Ananya Choudhary,Finance,Manager,63,15,8445,3,3,Medium,8429
59,Vihaan Joshi,Finance,Director,35,2,4380,4,3,Medium,8891
60,Reyansh Nair,Finance,Senior,35,12,12865,3,1,High,1814
61,Avni Desai,Finance,Senior,23,2,13919,5,4,Medium,2838
62,Ananya Mishra,Marketing,Associate,58,17,9534,2,4,Medium,2475
63,Myra Bhatia,HR,Senior,26,10,6156,5,1,Medium,8686
64,Sai Joshi,Operations,Lead,59,7,14580,1,4,Medium,6779
65,Meera Desai,IT,Senior,62,5,7307,3,1,High,826
66,Saanvi Bhatia,Finance,Associate,35,0,8634,2,2,High,1650
67,Ananya Mishra,Sales,Senior,60,0,11575,3,3,Medium,2135
68,Ananya Tripathi,Finance,Lead,46,7,8810,3,2,High,1779
69,Krishna Sharma,Sales,Manager,41,4,11533,4,5,Low,4007
70,Vivaan Tripathi,Operations,Associate,23,15,8934,1,5,Medium,927
71,Meera Verma,Operations,Manager,60,10,13179,3,5,Medium,4232
72,Avni Desai,Operations,Manager,27,4,6109,5,1,High,7605
73,Myra Shah,Sales,Manager,38,3,7082,5,4,Medium,9136
74,Aarav Kapoor,Finance,Junior,46,5,13990,4,2,High,6464
75,Riya Mehta,Operations,Director,49,13,6240,1,2,High,134
76,Aryan Rathore,Marketing,Junior,23,18,13180,1,2,High,2207
77,Vihaan Tripathi,Sales,Director,56,8,9028,5,2,Medium,8836
78,Aadhya Mehta,Sales,Manager,58,11,14606,2,5,Medium,9871
79,Arjun Verma,Finance,Associate,26,10,4849,4,2,High,7018
80,Ananya Bhatia,Sales,Director,22,13,11497,4,4,Medium,2749
81,Avni Reddy,Sales,Lead,61,15,14805,5,5,Low,9289
82,Aryan Patel,Operations,Lead,33,0,5749,5,2,Medium,5766
83,Avni Rathore,Finance,Senior,57,12,9680,2,1,High,4145
